data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757379,26,0,0,0,1,1,3
hanab_live,1757379,30,0,0.75,0.742424242424,16,16,4
hanab_live,1757379,31,1,0.5,0.5,3,3,3
hanab_live,1757379,32,0,0,0,1,1,3
hanab_live,1757379,33,1,0.666666666667,0.666666666667,3,3,2
hanab_live,1757379,35,1,0.333333333333,0.333333333333,2,2,1
hanab_live,1757379,42,0,0.714285714286,0.666666666667,5,4,4
hanab_live,1757379,44,0,0,0,1,1,4
hanab_live,1757379,47,1,0.25,0.25,3,3,4
hanab_live,1757379,49,1,0.8,0.8,4,4,4
hanab_live,1757379,50,0,0,0,1,1,3
hanab_live,1757379,51,1,0,0,1,1,3
hanab_live,1757379,52,0,0,0,1,1,2
hanab_live,1757379,54,0,0.333333333333,0,2,1,4
hanab_live,1757379,56,0,0,0,1,1,3
hanab_live,1757379,60,0,0.8,0.8,5,5,0
hanab_live,1757382,6,0,0.75,0.75,4,4,4
hanab_live,1757382,8,0,0.7,0.666666666667,5,4,4
hanab_live,1757382,11,1,0,0,1,1,4
hanab_live,1757382,13,1,0.6,0.6,3,3,4
hanab_live,1757382,14,0,0.714285714286,0.714285714286,4,4,3
hanab_live,1757382,17,1,0,0,1,1,3
hanab_live,1757382,19,1,0.666666666667,0.666666666667,4,4,4
hanab_live,1757382,20,0,0.75,0.714285714286,5,4,3
hanab_live,1757382,22,0,0.714285714286,0.666666666667,5,4,4
hanab_live,1757382,23,1,0,0,1,1,3
hanab_live,1757382,24,0,0,0,1,1,3
hanab_live,1757382,28,0,0.285714285714,0.285714285714,5,5,4
hanab_live,1757382,29,1,0.714285714286,0.714285714286,4,4,2
hanab_live,1757382,32,0,0.666666666667,0.6,5,4,4
hanab_live,1757382,33,1,0.6,0.6,3,3,1
hanab_live,1757382,34,0,0,0,1,1,3
hanab_live,1757382,35,1,0.5,0.5,3,3,0
hanab_live,1757382,39,1,0.6,0.6,4,4,4
